1  -10.2	ZINC000278629005
2  -10.7	ZINC001168022560
3  -9.4		ZINC000846144591
4  -10.5	ZINC000408968052
5  -10.5	ZINC000009260124
6  -10.3	ZINC000065406397
7  -10.0	ZINC000044909287
8  -9.4		ZINC000004123302
9  -9.7		ZINC000248229091
10  -9.3	ZINC000023105570
11  -9.0	ZINC000012386378
12  -10.1	ZINC000077323636
13  -10.0	ZINC000021045777
14  -9.8	ZINC000020347322
15  -9.5	ZINC000670417511
16  -8.6	ZINC000037559944
17  -10.2	ZINC000029323699
18  -8.9	ZINC000091746398
19  -9.2	ZINC000102545705
20  -10.6	ZINC000012718858
21  -10.6	ZINC000067741285
22  -10.1	ZINC000012751168
23  -8.8	ZINC000014205752
24  -10.1	ZINC000012587741
25  -10.4	ZINC000033308435
26  -10.3	ZINC000068734536
27  -8.8	ZINC000096160356
28  -9.2	ZINC000244900258
29  -9.2	ZINC000008738065
30  -8.9	ZINC000033087120
31  -10.3	ZINC000409413875
32  -10.5	ZINC000001323163
33  -11.5	ZINC000002507648
34  -10.9	ZINC000002858841
35  -12.7	ZINC000002975896
36  -9.9	ZINC000003026875
37  -9.7	ZINC000004566676
38  -9.9	ZINC000009116167
39  -12.1	ZINC000013576568
40  -11.8	ZINC000019824926
41  -12.5	ZINC000070701449
42  -10.8	ZINC000096287475
43  -10.5	ZINC000033701701
44  -10.6	ZINC000036116014
45  -11.9	ZINC000037385585
46  -11.9	ZINC000102991589
47  -10.7	ZINC000229865525
48  -10.4	ZINC000001408058
49  -13.7	ZINC000102541990
50  -11.0	ZINC000103296788
51  -12.8	ZINC000103372877
52  -10.5	ZINC000150474292
53  -11.8	ZINC000150482491
54  -11.8	ZINC000001847052
55  -11.6	ZINC000002055016
56  -11.0	ZINC000002724426
57  -10.0	ZINC000002851426
58  -11.5	ZINC000002969010
59  -11.2	ZINC000003302696
60  -11.8	ZINC000003672718
61  -11.9	ZINC000005918285
62  -10.5	ZINC000009679274
63  -11.1	ZINC000018143031
64  -11.6	ZINC000070705297
65  -11.4	ZINC000085405233
66  -12.7	ZINC000033058966
67  -11.1	ZINC000097966295
68  -10.2	ZINC000097981322
69  -10.6	ZINC000035773988
70  -11.5	ZINC000098017557
71  -11.8	ZINC000098021298
72  -10.9	ZINC000100546168
73  -11.9	ZINC000064980141
74  -10.1	ZINC000102594496
75  -11.3	ZINC000113481767
76  -11.4	ZINC000102931458
77  -11.8	ZINC000254813614
78  -11.9	ZINC000003142917
79  -12.7	ZINC000003267232
80  -9.9	ZINC000003645146
81  -11.5	ZINC000006017627
82  -10.1	ZINC000012437030
83  -11.3	ZINC000070021653
84  -11.2	ZINC000020490725
85  -10.8	ZINC000097945633
86  -12.4	ZINC000097958477
87  -11.1	ZINC000097984300
88  -10.5	ZINC000097995336
89  -13.4	ZINC000098015721
90  -12.4	ZINC000101903961
91  -12.6	ZINC000103382658
92  -11.6	ZINC000113562064
93  -11.2	ZINC000245245252
94  -12.4	ZINC000059222079
95  -10.3	ZINC000000632419
96  -11.7	ZINC000001237438
97  -12.2	ZINC000002063026
98  -9.4	ZINC000002192889
99  -11.5	ZINC000003045755
100  -12.6	ZINC000003452542
101  -10.4	ZINC000003621364
102  -9.9	ZINC000008451301
103  -13.5	ZINC000011782394
104  -11.1	ZINC000015722745
104  -11.1	ZINC000015723742
106  -13.2	ZINC000035889877
107  -10.3	ZINC000064979779
108  -13.2	ZINC000101130347
109  -11.3	ZINC000025165426
110  -11.0	ZINC000097952205
111  -10.4	ZINC000034736411
112  -13.1	ZINC000097994877
113  -10.5	ZINC000035844485
114  -12.2	ZINC000037379894
115  -12.7	ZINC000045922030
116  -10.5	ZINC000100947544
117  -13.6	ZINC000101977379
118  -11.3	ZINC000102139383
119  -12.3	ZINC000102673450
120  -11.2	ZINC000103105307
121  -12.6	ZINC000103196871
122  -10.8	ZINC000002108180
123  -11.7	ZINC000002410308
124  -10.3	ZINC000002884385
125  -11.6	ZINC000008751178
126  -13.1	ZINC000009597362
127  -10.3	ZINC000036121475
128  -9.5	ZINC000037427694
129  -12.3	ZINC000101970845
130  -10.0	ZINC000102594746
131  -11.6	ZINC000102928500
132  -10.5	ZINC000247916576
133  -10.9	ZINC000252666770
134  -10.0	ZINC000254835085
135  -10.4	ZINC000000739060
136  -11.1	ZINC000002114060
137  -13.2	ZINC000009581638
138  -10.0	ZINC000036313690
139  -11.2	ZINC000001145756
140  -11.5	ZINC000001874800
141  -11.3	ZINC000002250222
142  -10.3	ZINC000009190237
143  -11.2	ZINC000009776079
144  -12.0	ZINC000097996134
145  -10.3	ZINC000098015016
146  -12.7	ZINC000036094158
147  -9.8	ZINC000064815136
148  -9.0	ZINC000604405955
149  -11.9	ZINC000002955396
150  -13.0	ZINC000003270061
151  -11.1	ZINC000008442997
152  -10.0	ZINC000009456757
153  -10.6	ZINC000013301502
154  -9.4	ZINC000020104628
155  -9.2	ZINC000035797348
156  -11.3	ZINC000100357610
157  -12.2	ZINC000102902697
158  -10.8	ZINC000103034828
159  -11.1	ZINC000103100513
160  -12.1	ZINC000103427476
161  -12.8	ZINC000104138591
162  -12.3	ZINC000150407848
163  -11.0	ZINC000036004950
164  -11.5	ZINC000103082747
165  -12.6	ZINC000103201493
166  -10.7	ZINC000150392684
169  -9.2	ZINC000002389039
170  -11.1	ZINC000002561960
171  -11.8	ZINC000009116218
172  -11.0	ZINC000009391374
173  -11.5	ZINC000098043231
174  -10.9	ZINC000044460034
175  -11.3	ZINC000101386020
176  -11.2	ZINC000103067007
177  -12.4	ZINC000150389119
178  -10.7	ZINC000001897515
179  -10.1	ZINC000003006561
180  -11.8	ZINC000009348358
181  -11.6	ZINC000012541656
182  -10.1	ZINC000016433230
183  -11.6	ZINC000096287254
184  -11.9	ZINC000097953975
185  -9.9	ZINC000100427169
186  -13.1	ZINC000102901888
187  -13.4	ZINC000103424094
188  -10.5	ZINC000198700980
189  -11.4	ZINC000004427996
190  -11.5	ZINC000009614493
191  -12.4	ZINC000009781265
192  -10.9	ZINC000025145212
193  -11.2	ZINC000033050944
194  -11.0	ZINC000033695548
195  -10.5	ZINC000059523024
196  -11.7	ZINC000101630066
197  -10.6	ZINC000102141848
198  -11.1	ZINC000105979358
199  -10.0	ZINC000000684775
200  -12.2	ZINC000002733465
201  -11.7	ZINC000002758991
202  -11.8	ZINC000003001561
203  -11.6	ZINC000003287099
204  -11.4	ZINC000006180977
205  34.9	ZINC000097962710
206  -13.4	ZINC000033357966
207  -9.9	ZINC000033453707
208  -10.3	ZINC000035977608
209  -11.2	ZINC000036146616
210  -11.6	ZINC000037605323
211  -12.1	ZINC000101085977
212  -13.1	ZINC000226931832
213  -11.3	ZINC000000710158
214  -12.3	ZINC000006173411
215  -11.6	ZINC000008583533
216  -10.2	ZINC000008919529
217  -11.1	ZINC000013365602
218  -12.5	ZINC000013811293
219  -11.6	ZINC000013936208
220  -10.6	ZINC000019994970
221  -11.3	ZINC000096292305
222  -10.8	ZINC000098017017
223  -10.1	ZINC000100426557
224  -9.8	ZINC000101556408
226  -12.0	ZINC000105990184
227  -10.7	ZINC000247922796
229  -10.2	ZINC000004855180
230  -9.1	ZINC000016305786
231  -9.7	ZINC000028332659
232  -9.7	ZINC000040127768
233  -11.4	ZINC000055134254
234  -9.8	ZINC000016993964
235  -9.9	ZINC000004034876
236  -10.1	ZINC000036619030
237  -10.2	ZINC000067601818
238  -11.4	ZINC000012754765
239  -10.3	ZINC000015364835
240  -10.7	ZINC000023873003
241  -11.1	ZINC000034910959
242  -9.9	ZINC000019852104
243  -10.5	ZINC000095477875
244  -9.8	ZINC000654442300
245  -9.9	ZINC000575604844
246  -10.7	ZINC000003104663
247  -9.4	ZINC000003521304
248  -10.1	ZINC000001291821
249  -10.0	ZINC000575617584
250  -10.8	ZINC000003463877
251  -10.5	ZINC000127372273
252  -9.8	ZINC000005206997
253  -10.6	ZINC000012782825
254  -9.7	ZINC000011779781
255  -9.1	ZINC000003245446
256  -10.6	ZINC000018173721
257  -9.9	ZINC000003439549
258  -9.5	ZINC000032843018
259  -8.6	ZINC000096385920
260  -9.9	ZINC000012971410
261  -9.8	ZINC000005062290
262  -9.6	ZINC000008310576
263  -9.2	ZINC000005109042
264  -10.3	ZINC000004934657
265  -10.3	ZINC000004328177
266  -8.5	ZINC000004594511
267  -10.1	ZINC000033268370
268  -9.5	ZINC000159349833
269  -10.0	ZINC000015674395
270  -8.5	ZINC000071749843
271  -10.0	ZINC000015859912
272  -9.5	ZINC000048332793
273  -8.5	ZINC000004451109
274  -9.2	ZINC000004389664
275  -7.3	ZINC000034708629
276  -9.6	ZINC000198148791
277  -10.6	ZINC000065250344
278  -10.4	ZINC000004303485
279  -10.7	ZINC000575606907
280  -10.6	ZINC000024762725
281  -9.8	ZINC000040141324
282  -9.4	ZINC000037544777
283  -10.2	ZINC000002414640
284  -10.1	ZINC000007983566
285  -8.3	ZINC000002806745
286  -11.1	ZINC000067771044
287  -9.9	ZINC000072115672
288  -11.2	ZINC000065137963
289  -10.7	ZINC000426442010
290  -9.4	ZINC000005007691
291  -10.5	ZINC000334163587
292  -9.9	ZINC000170625874
293  -9.8	ZINC000095365154
294  -9.1	ZINC000007554881
295  -10.8	ZINC000005341825
296  -9.1	ZINC000067881144
297  -9.4	ZINC000058174661
298  -9.6	ZINC000021282287
299  -10.1	ZINC000013724125
