smiles  labels
NC(=O)c1ccc(N2CN[C@H]([NH3+])[C@@H]3NCN[C@H]32)nn1 -15.7
CN(CCOc1ccc(Cl)cc1)C(=O)CNC(CN)C[NH3+] -15.0
[NH3+][C@@H]1NCN(C(=O)C2CC3(C2)OCCO3)[C@H]2NCN[C@@H]21 -15.0
[NH3+][C@@H]1CCC[C@@H](C[NH2+]Cc2cc3ccccc3nc2N2CCCCC2)C1 -14.1
C=CCOc1ccc(C[N@H+](C)CCN2CC[NH2+]CC2)cc1Cl -14.0
C[C@@H](C[C@H]1CCCCC[NH2+]1)[NH2+]CCc1nc(-c2ccc(Cl)cc2)no1 -13.9
C[C@@H](C(=O)NCCc1c[nH]c2ccccc12)[N@H+]1CCC[C@H](CC[NH3+])C1 -13.9
Cc1cc(OCC2(CC(=O)N3CC[NH+](C)CC3)CCN(C(=O)c3cn(C)c4ccccc34)CC2)ccc1Cl -13.8
C[C@H](CN1CCN(C)CC1)[NH2+][C@@H](C)c1ccc2c(c1)OCCCO2 -13.5
C[C@H]1CCCC[N@@H+]1Cc1ccc(CN[C@@H]2C[NH2+]CCOC2)cc1 -13.4
C[C@H]([NH2+]CC(C)(C)N1CC[NH+](C)CC1)c1ccc(NC(=O)NC2CC2)cc1 -13.4
C[NH+](C)C[C@H](N)C(=O)NCCc1ccc(C2CCCCC2)cc1 -13.4
CCc1ccc([C@H](C)NC(=O)CN2CCCC[C@H]2C[NH3+])cc1 -13.3
C[C@@H]([NH3+])c1ccc(C(=O)N[C@H]2CCCc3cn(C4CCCC4)nc32)cc1 -13.2
CC[NH+]1CCN(CCC[NH2+][C@@H]2CCCCc3ccc(Cl)cc32)CC1 -13.2
CC(=O)N1CCC[C@@H](N(C)C(=O)[C@@H](N)CN2CCC([NH3+])CC2)C1 -13.2
[NH3+][C@@H]1CC[C@H](CNC(=O)NC2CC[NH+](CC3CCCC3)CC2)C1 -13.2
Cc1ccc(C[NH2+][C@H]2CCCC[C@@H]2C[NH3+])cc1S(C)(=O)=O -13.1
O=C(O[C@@H](C(=O)c1ccccc1)c1ccccc1)c1ccc(Cn2nnc3ccccc32)cc1 -13.1
c1ccc(CC[NH+]2CCC([NH2+]CCc3nc4c(s3)CCCC4)CC2)cc1 -13.0
c1ccc2c(c1)nc([C@H]1CCCC[NH2+]1)n2[C@H]1CC[NH2+]C2(CNC2)C1 -12.9
Cc1cc(-c2noc(CN3CC[C@H]4CC[C@]43C[NH3+])n2)ccc1F -12.9
CCN1CC[NH+](CCC(=O)NCc2ccc(-c3nc4ccccc4s3)o2)CC1 -12.9
Clc1cccc2c1CCC[C@H]2[NH2+][C@H]1CCN(CCN2CCOCC2)C1 -12.9
c1ccc(-c2ccc(C[N@@H+]3C[C@H]4C[NH2+]CC[C@H]43)cc2)cc1 -12.8
CC[C@H]1C(=O)NCCN1c1nnc(CN2CCCC2=O)n1CC[N@H+]1CCN(C)C(C)(C)C1 -12.8
CC[NH+]1CCN(Cc2ccc(NC(=O)C[C@H](C)[C@@H]3CCC[NH2+]C3)cc2)CC1 -12.8
CC[NH2+]CCNC(=O)C(=O)NCC1CCN(S(=O)(=O)c2ccccc2)CC1 -12.7
Cc1ccc(-c2nnc(CN3CC[C@H]([NH+]4CCN(C)CC4)[C@@H](C)C3)o2)cc1 -12.6
CC[NH+]1CCN([C@@H]2CCN(C(=O)C(=O)N[C@@H]3CCCN(c4ccn(C)n4)C3=O)C2)CC1 -12.6
CN(CC[N@@H+](C)C1CCN(C)CC1)C(=O)c1cc2c(s1)-c1ccccc1OC2 -12.6
CC1CCN(S(=O)(=O)c2ccc(Cl)c(C(=O)Nc3cccc4ccccc43)c2)CC1 -12.5
C[C@H](C[NH2+][C@H]1C[C@@H]([NH3+])C12CCC2)c1ccc(S(C)(=O)=O)cc1 -12.5
COc1ccc(-c2nc(C)c([C@H](C)[NH2+][C@@H]3CN(C)C[C@H]3C)s2)cc1 -12.5
N#Cc1cccc(CN2CCC([NH2+][C@H]3C[C@H]([NH3+])C34CCC4)CC2)c1 -12.5
O[C@@H]1C[C@H](C[NH2+][C@H]2CC[C@H](c3ccccc3)C2)N(Cc2ccccc2)C1 -12.5
O=C(NCCCCCN1CC[NH2+]CC1)N1CCC[C@H]1c1ccc(F)cc1 -12.5
c1c(C[NH2+]C23CC(c4ccccc4)(C2)C3)nnn1C[C@H]1CCOC1 -12.4
